Mark,Manu,Type,Model,Serial,MTOW,engnum,Engmanu,Engtype,Engmodel,Fueltype,regType,regholdname,regholdadd1,regholdadd2,regholdSuburb,regholdState,regholdPostcode,regholdCountry,regholdCommdate,regopName,regopadd1,regopadd2,regopSuburb,regopState,regopPostcode,regopCountry,regopCommdate,Datefirstreg,gear,Airframe,CoAcata,CoAcatb,CoAcatc,Propmanu,Propmodel,Typecert,Countrymanu,Yearmanu,Regexpirydate,suspendstatus,suspenddate,ICAOtypedesig,IDERA_Authorised_Party,IDERA_Certified_Designee
QOB,BOMBARDIER INC,,DHC-8-402,4116,27987,2,PRATT & WHITNEY CANADA,Turboprop,PW150A,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,1-Feb-06,SUNSTATE AIRLINES (QLD) PTY. LIMITED,C Wing Level 1   10 Bourke Road,,MASCOT,NSW,2020,Australia,1-Feb-06,1-Feb-06,,Power Driven Aeroplane,Active (Transport),,,DOWTY-ROTOL LIMITED,R408/6-123-F/17,A-142,Canada,2006,,,,DH8D,,
QOC,BOMBARDIER INC,,DHC-8-402,4117,27987,2,PRATT & WHITNEY CANADA,Turboprop,PW150A,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,8-Mar-06,SUNSTATE AIRLINES (QLD) PTY. LIMITED,C Wing Level 1   10 Bourke Road,,MASCOT,NSW,2020,Australia,8-Mar-06,8-Mar-06,,Power Driven Aeroplane,Active (Transport),,,DOWTY-ROTOL LIMITED,R408/6-123-F/17,A-142,Canada,2006,,,,DH8D,,
QOD,BOMBARDIER INC,,DHC-8-402,4123,27987,2,PRATT & WHITNEY CANADA,Turboprop,PW150A,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,22-May-06,SUNSTATE AIRLINES (QLD) PTY. LIMITED,C Wing Level 1   10 Bourke Road,,MASCOT,NSW,2020,Australia,22-May-06,22-May-06,,Power Driven Aeroplane,Active (Transport),,,DOWTY-ROTOL LIMITED,R408/6-123-F/17,A-142,Canada,2006,,,,DH8D,,
QOE,BOMBARDIER INC,,DHC-8-402,4125,27987,2,PRATT & WHITNEY CANADA,Turboprop,PW150A,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,29-May-15,SUNSTATE AIRLINES (QLD) PTY. LIMITED,C Wing Level 1   10 Bourke Road,,MASCOT,NSW,2020,Australia,29-May-15,21-Jun-06,,Power Driven Aeroplane,Active (Transport),,,DOWTY-ROTOL LIMITED,R408/6-123-F/17,A-142,Canada,2006,,,,DH8D,,
QOF,BOMBARDIER INC,,DHC-8-402,4128,27987,2,PRATT & WHITNEY CANADA,Turboprop,PW150A,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,16-May-15,SUNSTATE AIRLINES (QLD) PTY. LIMITED,C Wing Level 1   10 Bourke Road,,MASCOT,NSW,2020,Australia,16-May-15,2-Aug-06,,Power Driven Aeroplane,Active (Transport),,,DOWTY-ROTOL LIMITED,R408/6-123-F/17,A-142,Canada,2006,,,,DH8D,,
QOH,BOMBARDIER INC,,DHC-8-402,4132,27987,2,PRATT & WHITNEY CANADA,Turboprop,PW150A,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,13-Oct-06,SUNSTATE AIRLINES (QLD) PTY. LIMITED,C Wing Level 1   10 Bourke Road,,MASCOT,NSW,2020,Australia,13-Oct-06,13-Oct-06,,Power Driven Aeroplane,Active (Transport),,,DOWTY-ROTOL LIMITED,R408/6-123-F/17,A-142,Canada,2006,,,,DH8D,,
QOI,BOMBARDIER INC,,DHC-8-402,4189,27987,2,PRATT & WHITNEY CANADA,Turboprop,PW150A,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,12-May-15,SUNSTATE AIRLINES (QLD) PTY. LIMITED,C Wing Level 1   10 Bourke Road,,MASCOT,NSW,2020,Australia,12-May-15,30-Jan-08,,Power Driven Aeroplane,Active (Transport),,,DOWTY-ROTOL LIMITED,R408/6-123-F/17,A-142,Canada,2008,,,,DH8D,ANZ FIDUCIARY SERVICES PTY LTD,
QOJ,BOMBARDIER INC,,DHC-8-402,4192,27987,2,PRATT & WHITNEY CANADA,Turboprop,PW150A,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,12-May-15,SUNSTATE AIRLINES (QLD) PTY. LIMITED,C Wing Level 1   10 Bourke Road,,MASCOT,NSW,2020,Australia,12-May-15,18-Feb-08,,Power Driven Aeroplane,Active (Transport),,,DOWTY-ROTOL LIMITED,R408/6-123-F/17,A-142,Canada,2008,,,,DH8D,ANZ FIDUCIARY SERVICES PTY LTD,
QOK,BOMBARDIER INC,,DHC-8-402,4215,27987,2,PRATT & WHITNEY CANADA,Turboprop,PW150A,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,12-May-15,SUNSTATE AIRLINES (QLD) PTY. LIMITED,C Wing Level 1   10 Bourke Road,,MASCOT,NSW,2020,Australia,12-May-15,19-Aug-08,,Power Driven Aeroplane,Active (Transport),,,DOWTY-ROTOL LIMITED,R408/6-123-F/17,A-142,Canada,2008,,,,DH8D,ANZ FIDUCIARY SERVICES PTY LTD,
QOM,BOMBARDIER INC,,DHC-8-402,4217,27987,2,PRATT & WHITNEY CANADA,Turboprop,PW150A,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,21-Jun-15,SUNSTATE AIRLINES (QLD) PTY. LIMITED,C Wing Level 1   10 Bourke Road,,MASCOT,NSW,2020,Australia,21-Jun-15,17-Sep-08,,Power Driven Aeroplane,Active (Transport),,,DOWTY-ROTOL LIMITED,R408/6-123-F/17,A-142,Canada,2008,,,,DH8D,ANZ FIDUCIARY SERVICES PTY LTD,
QON,BOMBARDIER INC,,DHC-8-402,4218,27987,2,PRATT & WHITNEY CANADA,Turboprop,PW150A,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,29-May-15,SUNSTATE AIRLINES (QLD) PTY. LIMITED,C Wing Level 1   10 Bourke Road,,MASCOT,NSW,2020,Australia,29-May-15,1-Oct-08,,Power Driven Aeroplane,Active (Transport),,,DOWTY-ROTOL LIMITED,R408/6-123-F/17,A-142,Canada,2008,,,,DH8D,ANZ FIDUCIARY SERVICES PTY LTD,
QOP,BOMBARDIER INC,,DHC-8-402,4238,27987,2,PRATT & WHITNEY CANADA,Turboprop,PW150A,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,24-Jul-19,SUNSTATE AIRLINES (QLD) PTY. LIMITED,C Wing Level 1   10 Bourke Road,,MASCOT,NSW,2020,Australia,24-Jul-19,10-Feb-09,,Power Driven Aeroplane,Active (Transport),,,DOWTY-ROTOL LIMITED,R408/6-123-F/17,A-142,Canada,2009,,,,DH8D,ANZ FIDUCIARY SERVICES PTY LTD,
QOR,BOMBARDIER INC,,DHC-8-402,4241,27987,2,PRATT & WHITNEY CANADA,Turboprop,PW150A,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,24-Jul-19,SUNSTATE AIRLINES (QLD) PTY. LIMITED,C Wing Level 1   10 Bourke Road,,MASCOT,NSW,2020,Australia,24-Jul-19,4-Mar-09,,Power Driven Aeroplane,Active (Transport),,,DOWTY-ROTOL LIMITED,R408/6-123-F/17,A-142,Canada,2009,,,,DH8D,ANZ FIDUCIARY SERVICES PTY LTD,
QOS,BOMBARDIER INC,,DHC-8-402,4263,27987,2,PRATT & WHITNEY CANADA,Turboprop,PW150A,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,7-Dec-19,SUNSTATE AIRLINES (QLD) PTY. LIMITED,C Wing Level 1   10 Bourke Road,,MASCOT,NSW,2020,Australia,7-Dec-19,30-Jul-09,,Power Driven Aeroplane,Active (Transport),,,DOWTY-ROTOL LIMITED,R408/6-123-F/17,A-142,Canada,2009,,,,DH8D,ANZ FIDUCIARY SERVICES PTY LTD,
QOT,BOMBARDIER INC,,DHC-8-402,4269,27987,2,PRATT & WHITNEY CANADA,Turboprop,PW150A,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,7-Dec-19,SUNSTATE AIRLINES (QLD) PTY. LIMITED,C Wing Level 1   10 Bourke Road,,MASCOT,NSW,2020,Australia,7-Dec-19,17-Sep-09,,Power Driven Aeroplane,Active (Transport),,,DOWTY-ROTOL LIMITED,R408/6-123-F/17,A-142,Canada,2009,,,,DH8D,ANZ FIDUCIARY SERVICES PTY LTD,
QOU,BOMBARDIER INC,,DHC-8-402,4275,27987,2,PRATT & WHITNEY CANADA,Turboprop,PW150A,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,28-Oct-20,SUNSTATE AIRLINES (QLD) PTY. LIMITED,C Wing Level 1   10 Bourke Road,,MASCOT,NSW,2020,Australia,28-Oct-20,10-Dec-09,,Power Driven Aeroplane,Active (Transport),,,DOWTY-ROTOL LIMITED,R408/6-123-F/17,A-142,Canada,2009,,,,DH8D,ANZ FIDUCIARY SERVICES PTY LTD,
QOV,BOMBARDIER INC,,DHC-8-402,4277,27987,2,PRATT & WHITNEY CANADA,Turboprop,PW150A,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,2-Nov-20,SUNSTATE AIRLINES (QLD) PTY. LIMITED,C Wing Level 1   10 Bourke Road,,MASCOT,NSW,2020,Australia,2-Nov-20,17-Dec-09,,Power Driven Aeroplane,Active (Transport),,,DOWTY-ROTOL LIMITED,R408/6-123-F/17,A-142,Canada,2009,,,,DH8D,ANZ FIDUCIARY SERVICES PTY LTD,
QOW,BOMBARDIER INC,,DHC-8-402,4285,27987,2,PRATT & WHITNEY CANADA,Turboprop,PW150A,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,2-Nov-20,SUNSTATE AIRLINES (QLD) PTY. LIMITED,C Wing Level 1   10 Bourke Road,,MASCOT,NSW,2020,Australia,2-Nov-20,8-Jan-10,,Power Driven Aeroplane,Active (Transport),,,DOWTY-ROTOL LIMITED,R408/6-123-F/17,A-142,Canada,2009,,,,DH8D,ANZ FIDUCIARY SERVICES PTY LTD,
QOX,BOMBARDIER INC,,DHC-8-402,4287,27987,2,PRATT & WHITNEY CANADA,Turboprop,PW150A,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,2-Nov-20,SUNSTATE AIRLINES (QLD) PTY. LIMITED,C Wing Level 1   10 Bourke Road,,MASCOT,NSW,2020,Australia,2-Nov-20,14-Jan-10,,Power Driven Aeroplane,Active (Transport),,,DOWTY-ROTOL LIMITED,R408/6-123-F/17,A-142,Canada,2009,,,,DH8D,ANZ FIDUCIARY SERVICES PTY LTD,
QOY,BOMBARDIER INC,,DHC-8-402,4288,27987,2,PRATT & WHITNEY CANADA,Turboprop,PW150A,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,2-Nov-20,SUNSTATE AIRLINES (QLD) PTY. LIMITED,C Wing Level 1   10 Bourke Road,,MASCOT,NSW,2020,Australia,2-Nov-20,27-Jan-10,,Power Driven Aeroplane,Active (Transport),,,DOWTY-ROTOL LIMITED,R408/6-123-F/17,A-142,Canada,2010,,,,DH8D,ANZ FIDUCIARY SERVICES PTY LTD,
QPA,AIRBUS INDUSTRIE,,A330-303,553,202000,2,GENERAL ELECTRIC COMPANY,Turbofan,CF6-80E1A2,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,10-Jun-15,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,10-Jun-15,31-Oct-03,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,184,France,2003,,,,A333,,
QPB,AIRBUS INDUSTRIE,,A330-303,558,202000,2,GENERAL ELECTRIC COMPANY,Turbofan,CF6-80E1A2,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,30-Jul-15,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,30-Jul-15,1-Dec-03,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,184,France,2003,,,,A333,,
QPC,AIRBUS INDUSTRIE,,A330-303,564,202000,2,GENERAL ELECTRIC COMPANY,Turbofan,CF6-80E1A2,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,19-May-15,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,19-May-15,1-Dec-03,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,184,France,2003,,,,A333,,
QPD,AIRBUS INDUSTRIE,,A330-303,574,202000,2,GENERAL ELECTRIC COMPANY,Turbofan,CF6-80E1A2,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,15-Oct-04,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,15-Oct-04,15-Oct-04,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,184,France,2004,,,,A333,,
QPE,AIRBUS INDUSTRIE,,A330-303,593,202000,2,GENERAL ELECTRIC COMPANY,Turbofan,CF6-80E1A2,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,4-Jun-04,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,4-Jun-04,4-Jun-04,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,184,France,2004,,,,A333,,
QPF,AIRBUS INDUSTRIE,,A330-303,595,202000,2,GENERAL ELECTRIC COMPANY,Turbofan,CF6-80E1A2,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,4-Jun-04,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,4-Jun-04,4-Jun-04,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,184,France,2004,,,,A333,,
QPG,AIRBUS INDUSTRIE,,A330-303,603,202000,2,GENERAL ELECTRIC COMPANY,Turbofan,CF6-80E1A2,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,20-Jul-15,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,20-Jul-15,12-Jul-04,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,184,France,2004,,,,A333,,
QPH,AIRBUS INDUSTRIE,,A330-303,695,202000,2,GENERAL ELECTRIC COMPANY,Turbofan,CF6-80E1A3,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,18-Nov-14,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,18-Nov-14,6-Oct-05,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,184,France,2005,,,,A333,NATIONAL AUSTRALIA BANK LIMITED,
QPI,AIRBUS INDUSTRIE,,A330-303,705,233000,2,GENERAL ELECTRIC COMPANY,Turbofan,CF6-80E1A3,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,27-Oct-05,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,27-Oct-05,27-Oct-05,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,EASA.A.004,France,2005,,,,A333,NATIONAL AUSTRALIA BANK LIMITED,
QPJ,AIRBUS INDUSTRIE,,A330-303,712,202000,2,GENERAL ELECTRIC COMPANY,Turbofan,CF6-80E1A3,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,22-Jun-09,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,22-Jun-09,5-Dec-05,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,184,France,2005,,,,A333,NATIONAL AUSTRALIA BANK LIMITED,
SBB,BOMBARDIER INC,,DHC-8-315,539,19500,2,PRATT & WHITNEY CANADA,Turboprop,PW123,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,8-Feb-11,EASTERN AUSTRALIA AIRLINES PTY. LIMITED,C Wing Level 1   10 Bourke Road,,MASCOT,NSW,2020,Australia,8-Feb-11,6-Mar-00,,Power Driven Aeroplane,Active (Transport),,,HAMILTON STANDARD,14SF-15,A-142,Canada,2000,,,,DH8C,,
SBG,BOMBARDIER INC,,DHC-8-315,575,19500,2,PRATT & WHITNEY CANADA,Turboprop,PW123E,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,8-Feb-11,EASTERN AUSTRALIA AIRLINES PTY. LIMITED,C Wing Level 1   10 Bourke Road,,MASCOT,NSW,2020,Australia,8-Feb-11,16-Nov-01,,Power Driven Aeroplane,Active (Transport),,,HAMILTON STANDARD,14SF-23,A-142,Canada,2001,,,,DH8C,,
SBI,BOMBARDIER INC,,DHC-8-315,605,19500,2,PRATT & WHITNEY CANADA,Turboprop,PW123E,Kerosene,Full Registration,SUNSTATE AIRLINES (QLD) PTY. LIMITED,C Wing Level 1   10 Bourke Road,,MASCOT,NSW,2020,Australia,11-Nov-04,EASTERN AUSTRALIA AIRLINES PTY. LIMITED,C Wing Level 1   10 Bourke Road,,MASCOT,NSW,2020,Australia,7-Aug-06,11-Nov-04,,Power Driven Aeroplane,Active (Transport),,,HAMILTON STANDARD,14SF-23,A-142,Canada,2004,,,,DH8C,,
SBJ,BOMBARDIER INC,,DHC-8-315,578,19500,2,PRATT & WHITNEY CANADA,Turboprop,PW123E,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,8-Feb-11,EASTERN AUSTRALIA AIRLINES PTY. LIMITED,C Wing Level 1   10 Bourke Road,,MASCOT,NSW,2020,Australia,30-Jul-12,11-Jan-02,,Power Driven Aeroplane,Active (Transport),,,HAMILTON STANDARD,14SF-15,,Canada,2001,,,,DH8C,,
SBT,BOMBARDIER INC,,DHC-8-315,580,19500,2,PRATT & WHITNEY CANADA,Turboprop,PW123E,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,7-Feb-11,EASTERN AUSTRALIA AIRLINES PTY. LIMITED,C Wing Level 1   10 Bourke Road,,MASCOT,NSW,2020,Australia,7-Feb-11,7-Feb-02,,Power Driven Aeroplane,Active (Transport),,,HAMILTON STANDARD,14SF-15,,Canada,2002,,,,DH8C,,
SBV,BOMBARDIER INC,,DHC-8-315,595,19500,2,PRATT & WHITNEY CANADA,Turboprop,PW123E,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,7-Feb-11,EASTERN AUSTRALIA AIRLINES PTY. LIMITED,C Wing Level 1   10 Bourke Road,,MASCOT,NSW,2020,Australia,7-Feb-11,24-Jun-03,,Power Driven Aeroplane,Active (Transport),,,HAMILTON STANDARD,14SF-23,A-142,Canada,2003,,,,DH8C,,
SBW,BOMBARDIER INC,,DHC-8-315,599,19500,2,PRATT & WHITNEY CANADA,Turboprop,PW123E,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,30-Jan-04,EASTERN AUSTRALIA AIRLINES PTY. LIMITED,C Wing Level 1   10 Bourke Road,,MASCOT,NSW,2020,Australia,23-Jul-09,30-Jan-04,,Power Driven Aeroplane,Active (Transport),,,HAMILTON STANDARD,14SF-23,A-142,Canada,2004,,,,DH8C,,
SCE,BOMBARDIER INC,,DHC-8-315,602,19500,2,PRATT & WHITNEY CANADA,Turboprop,PW123E,Kerosene,Full Registration,SUNSTATE AIRLINES (QLD) PTY. LIMITED,C Wing Level 1   10 Bourke Road,,MASCOT,NSW,2020,Australia,7-May-04,EASTERN AUSTRALIA AIRLINES PTY. LIMITED,C Wing Level 1   10 Bourke Road,,MASCOT,NSW,2020,Australia,7-May-04,7-May-04,,Power Driven Aeroplane,Active (Transport),,,HAMILTON STANDARD,14SF-15,,Canada,2004,,,,DH8C,,
TQD,BOMBARDIER INC,,DHC-8-315,598,19500,2,PRATT & WHITNEY CANADA,Turboprop,PW123E,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,22-Jan-04,EASTERN AUSTRALIA AIRLINES PTY. LIMITED,C Wing Level 1   10 Bourke Road,,MASCOT,NSW,2020,Australia,22-Jan-04,22-Jan-04,,Power Driven Aeroplane,Active (Transport),,,HAMILTON STANDARD,14SF-23,A-142,Canada,2004,,,,DH8C,,
TQE,BOMBARDIER INC,,DHC-8-315,596,19500,2,PRATT & WHITNEY CANADA,Turboprop,PW123E,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,7-Feb-11,EASTERN AUSTRALIA AIRLINES PTY. LIMITED,C Wing Level 1   10 Bourke Road,,MASCOT,NSW,2020,Australia,7-Feb-11,24-Jul-03,,Power Driven Aeroplane,Active (Transport),,,HAMILTON STANDARD,14SF-15,,Canada,2003,,,,DH8C,,
TQG,DE HAVILLAND CANADA,,DHC-8-201,430,16446,2,PRATT & WHITNEY CANADA,Turboprop,PW123C,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,7-Feb-11,EASTERN AUSTRALIA AIRLINES PTY. LIMITED,C Wing Level 1   10 Bourke Road,,MASCOT,NSW,2020,Australia,7-Feb-11,11-Jan-96,,Power Driven Aeroplane,Active (Transport),,,HAMILTON STANDARD,14SF-23,,Canada,1996,,,,DH8B,,
TQH,BOMBARDIER INC,,DHC-8-315,597,19500,2,PRATT & WHITNEY CANADA,Turboprop,PW123E,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,7-Feb-11,EASTERN AUSTRALIA AIRLINES PTY. LIMITED,C Wing Level 1   10 Bourke Road,,MASCOT,NSW,2020,Australia,7-Feb-11,15-Aug-03,,Power Driven Aeroplane,Active (Transport),,,HAMILTON STANDARD,14SF-15,,Canada,2003,,,,DH8C,,
TQK,BOMBARDIER INC,,DHC-8-315,600,19500,2,PRATT & WHITNEY CANADA,Turboprop,PW123E,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,11-Feb-04,EASTERN AUSTRALIA AIRLINES PTY. LIMITED,C Wing Level 1   10 Bourke Road,,MASCOT,NSW,2020,Australia,11-Feb-04,11-Feb-04,,Power Driven Aeroplane,Active (Transport),,,HAMILTON STANDARD,14SF-15,,Canada,2004,,,,DH8C,,
TQL,BOMBARDIER INC,,DHC-8-315,603,19500,2,PRATT & WHITNEY CANADA,Turboprop,PW123E,Kerosene,Full Registration,EASTERN AUSTRALIA AIRLINES PTY. LIMITED,C Wing Level 1   10 Bourke Road,,MASCOT,NSW,2020,Australia,22-Jul-04,EASTERN AUSTRALIA AIRLINES PTY. LIMITED,C Wing Level 1   10 Bourke Road,,MASCOT,NSW,2020,Australia,22-Jul-04,22-Jul-04,,Power Driven Aeroplane,Active (Transport),,,HAMILTON STANDARD,14SF-15,,Canada,2004,,,,DH8C,,
TQM,BOMBARDIER INC,,DHC-8-315,604,19500,2,PRATT & WHITNEY CANADA,Turboprop,PW123E,Kerosene,Full Registration,EASTERN AUSTRALIA AIRLINES PTY. LIMITED,C Wing Level 1   10 Bourke Road,,MASCOT,NSW,2020,Australia,13-Aug-04,EASTERN AUSTRALIA AIRLINES PTY. LIMITED,C Wing Level 1   10 Bourke Road,,MASCOT,NSW,2020,Australia,13-Aug-04,13-Aug-04,,Power Driven Aeroplane,Active (Transport),,,HAMILTON STANDARD,14SF-15,,Canada,2004,,,,DH8C,,
TQS,DE HAVILLAND INC.,,DHC-8-202,418,16466,2,PRATT & WHITNEY CANADA,Turboprop,PW123D,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,7-Feb-11,EASTERN AUSTRALIA AIRLINES PTY. LIMITED,C Wing Level 1   10 Bourke Road,,MASCOT,NSW,2020,Australia,7-Feb-11,27-Mar-98,,Power Driven Aeroplane,Active (Transport),,,HAMILTON STANDARD,14SF-23/SFA13()-OA,A-142,Canada,1995,,,,DH8B,,
TQX,DE HAVILLAND INC.,,DHC-8-202,439,16466,2,PRATT & WHITNEY CANADA,Turboprop,PW123D,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,8-Feb-11,EASTERN AUSTRALIA AIRLINES PTY. LIMITED,C Wing Level 1   10 Bourke Road,,MASCOT,NSW,2020,Australia,8-Feb-11,17-Mar-00,,Power Driven Aeroplane,Active (Transport),,,HAMILTON STANDARD,14SF-23/SFA13()-OA,A-142,Canada,1996,,,,DH8B,,
TQY,BOMBARDIER INC,,DHC-8-315,552,19500,2,PRATT & WHITNEY CANADA,Turboprop,PW123E,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,7-Feb-11,EASTERN AUSTRALIA AIRLINES PTY. LIMITED,C Wing Level 1   10 Bourke Road,,MASCOT,NSW,2020,Australia,7-Feb-11,24-Oct-00,,Power Driven Aeroplane,Active (Transport),,,HAMILTON STANDARD,14SF-15,,Canada,2000,,,,DH8C,,
TQZ,BOMBARDIER INC,,DHC-8-315,555,19500,2,PRATT & WHITNEY CANADA,Turboprop,PW123E,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,8-Feb-11,EASTERN AUSTRALIA AIRLINES PTY. LIMITED,C Wing Level 1   10 Bourke Road,,MASCOT,NSW,2020,Australia,8-Feb-11,29-Nov-00,,Power Driven Aeroplane,Active (Transport),,,HAMILTON STANDARD,14SF-15,,Canada,2000,,,,DH8C,,
